what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1396533146720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533149508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533231412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533233838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533260086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533320295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533323207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533324324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533333370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533392267
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1396533412749
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1396533413856
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1396533413997
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396533414262
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396533414418
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1396533414714
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1396533416149
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1396533416165
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396533418240
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1396533474088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533475648
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1396533477317
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1396533477567
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1396533477645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533534273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1396533534320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533549654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533557164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396533557180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533557616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533567988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533570438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533612452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533615136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533627776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533629848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533678094
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1396533680817
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1396533680926
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396533680973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533688399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396533754383
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396533755007
